name,code,rank20,pop20,twenty,rank19,nineteen,rank18,eighteen,rank16,sixteen,rank15,fifteen,rank17,seventeen
Norway,NOR,1,4638836,7.537000179,3,7.554,2,7.594,4,7.498,4,7.522,1,7.537000179
Denmark,DNK,2,5416945,7.521999836,2,7.6,3,7.555,1,7.526,3,7.527,2,7.521999836
Iceland,ISL,3,295732,7.504000187,4,7.494,4,7.495,3,7.501,2,7.561,3,7.504000187
Switzerland,CHE,4,7424389,7.493999958,6,7.48,5,7.487,2,7.509,1,7.587,4,7.493999958
Finland,FIN,5,7424389,7.468999863,1,7.769,1,7.632,5,7.413,6,7.406,5,7.468999863
Netherlands,NLD,6,1632769,7.376999855,5,7.488,6,7.441,7,7.339,7,7.378,6,7.376999855
Canada,CAN,7,32270507,7.315999985,9,7.278,7,7.328,6,7.404,5,7.427,7,7.315999985
New Zealand,NZL,8,4097112,7.31400013,8,7.307,8,7.324,8,7.334,9,7.286,8,7.31400013
Sweden,SWE,9,9038049,7.28399992,7,7.343,9,7.314,10,7.291,8,7.364,9,7.28399992
Australia,AUS,10,20310208,7.28399992,11,7.228,10,7.272,9,7.313,10,7.284,10,7.28399992
Israel,ISR,11,6692037,7.212999821,13,7.139,19,6.814,11,7.267,11,7.278,11,7.212999821
Costa Rica,CRI,12,4327228,7.078999996,12,7.167,13,7.072,14,7.087,12,7.226,12,7.078999996
Austria,AUT,13,8291979,7.006000042,10,7.246,12,7.139,12,7.119,13,7.2,13,7.006000042
USA,USA,14,299846449,6.993000031,19,6.892,18,6.886,13,7.104,15,7.119,14,6.993000031
Ireland,IRL,15,4143294,6.977000237,16,7.021,14,6.977,19,6.907,18,6.94,15,6.977000237
Germany,DEU,16,82652369,6.951000214,17,6.985,15,6.965,16,6.994,26,6.75,16,6.951000214
Belgium,BEL,17,10398049,6.890999794,18,6.923,16,6.927,18,6.929,19,6.937,17,6.890999794
Luxembourg,LUX,18,456613,6.862999916,14,7.09,17,6.91,20,6.871,17,6.946,18,6.862999916
United Kingdom,GBR,19,60244834,6.714000225,15,7.054,11,7.19,23,6.725,21,6.867,19,6.714000225
Chile,CHL,20,16295102,6.65199995,26,6.444,25,6.476,24,6.705,27,6.67,20,6.65199995
United Arab Emirates,ARE,21,4104291,6.647999763,21,6.825,20,6.774,28,6.573,20,6.901,21,6.647999763
Brazil,BRA,22,186830759,6.635000229,32,6.3,28,6.419,17,6.952,16,6.983,22,6.635000229
Czech Republic,CZE,23,10191762,6.609000206,20,6.852,21,6.711,27,6.596,31,6.505,23,6.609000206
Argentina,ARG,24,38747148,6.598999977,47,6.086,29,6.388,26,6.65,30,6.574,24,6.598999977
Mexico,MEX,25,104266392,6.578000069,23,6.595,24,6.488,21,6.778,14,7.187,25,6.578000069
Singapore,SGP,26,4327468,6.572000027,34,6.262,34,6.343,22,6.739,24,6.798,26,6.572000027
Malta,MLT,27,402617,6.52699995,22,6.726,22,6.627,30,6.488,37,6.302,27,6.52699995
Uruguay,URY,28,3325727,6.453999996,33,6.293,31,6.379,29,6.545,32,6.485,28,6.453999996
Guatemala,GTM,29,12709564,6.453999996,27,6.436,30,6.382,39,6.324,43,6.123,29,6.453999996
Panama,PAN,30,3231502,6.452000141,31,6.321,27,6.43,25,6.701,25,6.786,30,6.452000141
France,FRA,31,60990544,6.441999912,24,6.592,23,6.489,32,6.478,29,6.575,31,6.441999912
Thailand,THA,32,63002911,6.423999786,52,6.008,46,6.072,33,6.474,34,6.455,32,6.423999786
Taiwan,TWN,33,23588932,6.421999931,25,6.446,26,6.441,34,6.379,38,6.298,33,6.421999931
Spain,ESP,34,43397491,6.402999878,30,6.354,36,6.31,37,6.361,36,6.329,34,6.402999878
Qatar,QAT,35,796186,6.375,29,6.374,32,6.374,36,6.375,28,6.611,35,6.375
Colombia,COL,36,4494579,6.356999874,43,6.125,37,6.26,31,6.481,33,6.477,36,6.356999874
Saudi Arabia,SAU,37,2361236,6.343999863,28,6.375,33,6.371,34,6.379,35,6.411,37,6.343999863
Trinidad and Tobago,TTO,38,1323722,6.168000221,39,6.192,38,6.192,43,6.168,41,6.168,38,6.168000221
Kuwait,KWT,39,2700,6.105000019,51,6.021,45,6.083,41,6.239,39,6.295,39,6.105000019
Slovakia,SVK,40,5386995,6.09800005,38,6.198,39,6.173,45,6.078,45,5.995,40,6.09800005
Bahrain,BHR,41,724788,6.086999893,37,6.199,43,6.105,42,6.218,49,5.96,41,6.086999893
Malaysia,MYS,42,25652985,6.084000111,80,5.339,35,6.322,47,6.005,61,5.77,42,6.084000111
Nicaragua,NIC,43,5462539,6.071000099,45,6.105,41,6.141,48,5.992,57,5.828,43,6.071000099
Ecuador,ECU,44,13060993,6.007999897,50,6.028,48,5.973,51,5.976,48,5.975,44,6.007999897
El Salvador,SLV,45,6668356,6.002999783,35,6.253,40,6.167,46,6.068,42,6.13,45,6.002999783
Poland,POL,46,38195558,5.97300005,40,6.182,42,6.123,57,5.835,60,5.791,46,5.97300005
Uzbekistan,UZB,47,26593123,5.971000195,41,6.174,44,6.096,49,5.987,44,6.003,47,5.971000195
Italy,ITA,48,5864636,5.964000225,36,6.223,47,6,50,5.977,50,5.948,48,5.964000225
Russia,RUS,49,143953092,5.962999821,68,5.648,59,5.81,56,5.856,64,5.716,49,5.962999821
Belize,BLZ,50,275546,5.955999851,null,null,49,5.956,52,5.956,null,null,50,5.955999851
Japan,JPN,51,127896740,5.920000076,58,5.886,54,5.915,53,5.921,46,5.987,51,5.920000076
Lithuania,LTU,52,3425077,5.90199995,42,6.149,50,5.952,60,5.813,56,5.833,52,5.90199995
Algeria,DZA,53,32854159,5.872000217,88,5.211,84,5.295,38,6.355,68,5.605,53,5.872000217
Latvia,LVA,54,2301793,5.849999905,53,5.94,53,5.933,68,5.56,89,5.098,54,5.849999905
South Korea,KOR,55,47869837,5.837999821,54,5.895,57,5.875,57,5.835,47,5.984,55,5.837999821
Moldova,MDA,56,null,5.837999821,71,5.529,67,5.64,55,5.897,52,5.889,56,5.837999821
Romania,ROU,57,21627557,5.824999809,48,6.07,52,5.945,71,5.528,86,5.124,57,5.824999809
Bolivia,BOL,58,9182015,5.822999954,61,5.779,62,5.752,59,5.822,51,5.89,58,5.822999954
Turkmenistan,TKM,59,4833266,5.822000027,87,5.247,68,5.636,65,5.658,70,5.548,59,5.822000027
Kazakhstan,KAZ,60,15210609,5.818999767,60,5.809,60,5.79,54,5.919,54,5.855,60,5.818999767
North Cyprus,-99,61,null,5.809999943,64,5.718,58,5.835,62,5.771,66,5.695,61,5.809999943
Slovenia,SVN,62,1999425,5.757999897,44,6.118,51,5.948,63,5.768,55,5.848,62,5.757999897
Peru,PER,63,27274266,5.715000153,65,5.697,65,5.663,64,5.743,58,5.824,63,5.715000153
Mauritius,MUS,64,1241173,5.629000187,57,5.888,55,5.891,66,5.648,71,5.477,64,5.629000187
Cyprus,CYP,65,836321,5.620999813,49,6.046,61,5.762,69,5.546,67,5.689,65,5.620999813
Estonia,EST,66,1344312,5.611000061,55,5.893,63,5.739,72,5.517,73,5.429,66,5.611000061
Belarus,BLR,67,9795287,5.568999767,81,5.323,73,5.483,61,5.802,59,5.813,67,5.568999767
Libya,LBY,68,null,5.525000095,72,5.525,70,5.566,67,5.615,63,5.754,68,5.525000095
Turkey,TUR,69,72969723,5.5,79,5.373,74,5.483,78,5.389,76,5.332,69,5.5
Paraguay,PRY,70,5904342,5.493000031,63,5.743,64,5.681,70,5.538,53,5.878,70,5.493000031
Philippines,PHL,72,84566163,5.429999828,69,5.631,71,5.524,82,5.279,90,5.073,72,5.429999828
Serbia,SRB,73,9863026,5.394999981,70,5.603,78,5.398,86,5.177,87,5.123,73,5.394999981
Jordan,JOR,74,5544066,5.335999966,101,4.906,90,5.161,80,5.303,82,5.192,74,5.335999966
Hungary,HUN,75,10086387,5.323999882,62,5.758,69,5.62,91,5.145,104,4.8,75,5.323999882
Jamaica,JAM,76,2682469,5.31099987,56,5.89,56,5.89,73,5.51,65,5.709,76,5.31099987
Croatia,HRV,77,455149,5.293000221,75,5.432,82,5.321,74,5.488,62,5.759,77,5.293000221
Kosovo,OSA,78,null,5.278999805,46,6.1,66,5.662,77,5.401,69,5.589,78,5.278999805
China,CHN,79,1312978855,5.272999763,93,5.191,86,5.246,83,5.245,84,5.14,79,5.272999763
Pakistan,PAK,80,158080591,5.269000053,67,5.653,75,5.472,92,5.132,81,5.194,80,5.269000053
Indonesia,IDN,81,226063044,5.262000084,92,5.192,96,5.093,79,5.314,74,5.399,81,5.262000084
Venezuela,VEN,82,26725573,5.25,108,4.707,102,4.806,44,6.084,23,6.81,82,5.25
Montenegro,MNE,83,607969,5.236999989,73,5.523,81,5.347,88,5.161,82,5.192,83,5.236999989
Morocco,MAR,84,30494991,5.235000134,89,5.208,85,5.254,90,5.151,92,5.013,84,5.235000134
Azerbaijan,AZE,85,8352021,5.234000206,90,5.208,87,5.201,81,5.291,80,5.212,85,5.234000206
Dominican Republic,DOM,86,9469601,5.230000019,77,5.425,83,5.302,89,5.155,98,4.885,86,5.230000019
Greece,GRC,87,11099737,5.227000237,82,5.287,79,5.358,99,5.033,102,4.857,87,5.227000237
Lebanon,LBN,88,401074,5.224999905,91,5.197,80,5.358,93,5.129,103,4.839,88,5.224999905
Portugal,PRT,89,10528226,5.195000172,66,5.693,77,5.41,94,5.123,88,5.102,89,5.195000172
Bosnia and Herzegovina,BIH,90,3915238,5.18200016,78,5.386,93,5.129,87,5.163,96,4.949,90,5.18200016
Honduras,HND,91,683411,5.181000233,59,5.86,72,5.504,104,4.871,105,4.788,91,5.181000233
Macedonia,MKD,92,null,5.175000191,84,5.274,89,5.185,95,5.121,93,5.007,92,5.175000191
Somalia,SOM,93,8196395,5.151000023,112,4.668,98,4.982,76,5.44,null,null,93,5.151000023
Vietnam,VNM,94,null,5.073999882,94,5.175,95,5.103,96,5.061,75,5.36,94,5.073999882
Nigeria,NGA,95,141356083,5.073999882,85,5.265,91,5.155,103,4.875,78,5.268,95,5.073999882
Tajikistan,TJK,96,6550213,5.040999889,74,5.467,88,5.199,100,4.996,106,4.786,96,5.040999889
Bhutan,BTN,97,637013,5.011000156,95,5.082,97,5.082,84,5.196,79,5.253,97,5.011000156
Kyrgyzstan,KGZ,98,5203547,5.004000187,86,5.261,92,5.131,85,5.185,77,5.286,98,5.004000187
Nepal,NPL,99,27093656,4.961999893,100,4.913,101,4.88,107,4.793,121,4.514,99,4.961999893
Mongolia,MNG,100,2580704,4.954999924,83,5.285,94,5.125,101,4.907,100,4.874,100,4.954999924
South Africa,ZAF,101,47938663,4.828999996,106,4.722,105,4.724,116,4.459,113,4.642,101,4.828999996
Tunisia,TUN,102,10104685,4.804999828,124,4.461,111,4.592,98,5.045,107,4.739,102,4.804999828
Egypt,EGY,104,72849793,4.735000134,137,4.166,122,4.419,120,4.362,135,4.194,104,4.735000134
Bulgaria,BGR,105,7744591,4.714000225,97,5.011,100,4.933,129,4.217,134,4.218,105,4.714000225
Sierra Leone,SLE,106,5586403,4.709000111,129,4.374,113,4.571,111,4.635,123,4.507,106,4.709000111
Cameroon,CMR,107,17795149,4.695000172,96,5.044,99,4.975,114,4.513,133,4.252,107,4.695000172
Iran,IRN,108,null,4.691999912,117,4.548,106,4.707,105,4.813,110,4.686,108,4.691999912
Albania,ALB,109,3153731,4.644000053,107,4.719,112,4.586,109,4.655,95,4.959,109,4.644000053
Bangladesh,BGD,110,15328112,4.607999802,125,4.456,115,4.5,110,4.643,109,4.694,110,4.607999802
Namibia,NAM,111,2019677,4.573999882,113,4.639,119,4.441,113,4.574,null,null,111,4.573999882
Kenya,KEN,112,35598952,4.552999973,121,4.509,124,4.41,122,4.356,125,4.419,112,4.552999973
Mozambique,MOZ,113,20532675,4.550000191,123,4.466,123,4.417,null,null,94,4.971,113,4.550000191
Myanmar,MMR,114,null,4.545000076,131,4.36,130,4.308,119,4.395,129,4.307,114,4.545000076
Senegal,SEN,115,1177034,4.534999847,111,4.681,109,4.631,128,4.219,142,3.904,115,4.534999847
Zambia,ZMB,116,11478317,4.513999939,138,4.107,125,4.377,106,4.795,85,5.129,116,4.513999939
Iraq,IRQ,117,27995984,4.497000217,126,4.437,117,4.456,112,4.575,112,4.677,117,4.497000217
Gabon,GAB,118,1290693,4.465000153,104,4.799,103,4.758,134,4.121,143,3.896,118,4.465000153
Ethiopia,ETH,119,78985857,4.460000038,134,4.286,127,4.35,115,4.508,122,4.512,119,4.460000038
Sri Lanka,LKA,120,19120763,4.440000057,130,4.366,116,4.471,117,4.415,132,4.271,120,4.440000057
Armenia,ARM,121,3017661,4.375999928,116,4.559,129,4.321,121,4.36,127,4.35,121,4.375999928
India,IND,122,1134403141,4.315000057,140,4.015,133,4.19,118,4.404,117,4.565,122,4.315000057
Mauritania,MRT,123,2963105,4.291999817,122,4.49,126,4.356,130,4.201,124,4.436,123,4.291999817
Congo (Brazzaville),COD,124,null,4.290999889,103,4.812,114,4.559,127,4.236,139,3.989,124,4.290999889
Georgia,GEO,125,4473409,4.285999775,119,4.519,128,4.34,126,4.252,130,4.297,125,4.285999775
Congo (Kinshasa),COG,126,null,4.28000021,127,4.418,132,4.245,125,4.272,120,4.517,126,4.28000021
Mali,MLI,127,1161109,4.190000057,128,4.39,118,4.447,135,4.073,138,3.995,127,4.190000057
Ivory Coast,CIV,128,null,4.179999828,99,4.944,107,4.671,139,3.916,151,3.655,128,4.179999828
Cambodia,KHM,129,13955507,4.168000221,109,4.7,120,4.433,140,3.907,145,3.819,129,4.168000221
Sudan,SDN,130,36899747,4.138999939,98,4.996,137,4.139,133,4.139,118,4.55,130,4.138999939
